Subject_ID,Task,Valid_Item_Count,Correct_Item_Count,Overall_Accuracy,Card_Completion_Time,Completion_Time_Was_Missing,Card_Completion_Time_Imputed,Accuracy_Z,Completion_Time_Z
xxxxxxxx090,W,12,12,1.0,8.1964,False,8.1964,0.23849196668686676,0.26445234000522283
xxxxxxxx091,CW,12,12,1.0,8.5037,False,8.5037,0.43493459490912884,-0.9389274001469413
xxxxxxxx091,W,12,12,1.0,5.6832,False,5.6832,0.23849196668686676,-0.9733662476559629
xxxxxxxx092,CW,12,12,1.0,8.5766,False,8.5766,0.43493459490912884,-0.9261593553181322
xxxxxxxx092,W,12,12,1.0,7.95,False,7.95,0.23849196668686676,0.1430937135530039
xxxxxxxx093,CW,12,12,1.0,24.1143,False,24.1143,0.43493459490912884,1.7951856396968158
xxxxxxxx093,W,12,12,1.0,10.17,False,10.17,0.23849196668686676,1.2365034161663382
xxxxxxxx094,CW,12,9,0.75,17.86,False,17.86,-1.0271859581896456,0.6997784686018668
xxxxxxxx094,W,12,12,1.0,8.7791,False,8.7791,0.23849196668686676,0.5514477605965692
xxxxxxxx095,CW,12,12,1.0,20.0126,False,20.0126,0.43493459490912884,1.0767948375798477
xxxxxxxx095,W,12,12,1.0,11.5069,False,11.5069,0.23849196668686676,1.8949626195103773
xxxxxxxx096,CW,12,10,0.8333333333333334,25.9591,False,25.9591,-0.539812440490054,2.1182924860642687
xxxxxxxx096,W,12,2,0.16666666666666666,7.6676,False,7.6676,-7.007994713414056,0.00400411895029867
xxxxxxxx097,CW,12,12,1.0,14.2118,False,14.2118,0.43493459490912884,0.060815764288259785
xxxxxxxx097,W,12,12,1.0,6.9313,False,6.9313,0.23849196668686676,-0.35864343241645724
xxxxxxxx098,CW,12,11,0.9166666666666666,15.4649,False,15.4649,-0.052438922790462875,0.2802895225184503
xxxxxxxx098,W,12,12,1.0,11.011,False,11.011,0.23849196668686676,1.6507185332374255
xxxxxxxx099,CW,12,12,1.0,18.7674,False,18.7674,0.43493459490912884,0.8587047220677312
xxxxxxxx099,W,12,12,1.0,7.8233,False,7.8233,0.23849196668686676,0.08069055620115256
xxxxxxxx100,CW,12,12,1.0,19.9348,False,19.9348,0.43493459490912884,1.063168583976537
xxxxxxxx100,W,12,12,1.0,9.6422,False,9.6422,0.23849196668686676,0.9765477220044837
xxxxxxxx101,CW,12,12,1.0,13.8466,False,13.8466,0.43493459490912884,-0.003147061109286717
xxxxxxxx101,W,12,12,1.0,5.5245,False,5.5245,0.23849196668686676,-1.0515302655860246
xxxxxxxx102,CW,12,12,1.0,20.5544,False,20.5544,0.43493459490912884,1.1716882077890232
xxxxxxxx102,W,12,12,1.0,5.3729,False,5.3729,0.23849196668686676,-1.1261973425752956
xxxxxxxx103,CW,12,12,1.0,13.7977,False,13.7977,0.43493459490912884,-0.01171163438951675
xxxxxxxx103,W,12,12,1.0,5.8438,False,5.8438,0.23849196668686676,-0.8942664286290706
xxxxxxxx104,CW,12,12,1.0,9.8656,False,9.8656,0.43493459490912884,-0.7003979042298585
xxxxxxxx104,W,12,12,1.0,5.4168,False,5.4168,0.23849196668686676,-1.104575411969563
xxxxxxxx105,CW,12,12,1.0,15.7233,False,15.7233,0.43493459490912884,0.32554689952481947
xxxxxxxx105,W,12,12,1.0,6.3476,False,6.3476,0.23849196668686676,-0.6461313799008733
xxxxxxxx106,CW,12,10,0.8333333333333334,17.4185,False,17.4185,-0.539812440490054,0.6224521065727959
xxxxxxxx106,W,12,12,1.0,6.9353,False,6.9353,0.23849196668686676,-0.3566733248441812
xxxxxxxx107,CW,12,12,1.0,11.3393,False,11.3393,0.43493459490912884,-0.4422872366823111
xxxxxxxx107,W,12,12,1.0,6.4634,False,6.4634,0.23849196668686676,-0.589096765683475
xxxxxxxx108,CW,12,9,0.75,30.0548,False,30.0548,-1.0271859581896456,2.835632420294092
xxxxxxxx108,W,12,12,1.0,6.9892,False,6.9892,0.23849196668686676,-0.3301261253077581
xxxxxxxx109,CW,12,5,0.4166666666666667,14.4243,False,14.4243,-2.976680028988011,0.09803400195797135
xxxxxxxx109,W,12,12,1.0,6.6709,False,6.6709,0.23849196668686676,-0.48689743537164326
xxxxxxxx110,CW,12,12,1.0,12.7291,False,12.7291,0.43493459490912884,-0.1988712050900048
xxxxxxxx110,W,12,12,1.0,9.7898,False,9.7898,0.23849196668686676,1.049244691421478
