Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,Dots_Age_Coef,Dots_Age_PValue,Dots_Age_Significant,STT_Age_Coef,STT_Age_PValue,STT_Age_Significant
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0 semitone-20th percentile [pitch],-0.0705133314314332,-2.961318482937688,-0.1171838028454048,-0.0238428600174616,0.0030632499807854,True,0.0088933063958287,True,0.0464236642483632,0.5043995662679145,False,-0.02408966718307,0.7279108164987842,False
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0 semitone-standard deviation [pitch],0.1357696865658958,2.942244047289123,0.045325596479508,0.2262137766522837,0.00325843023672,True,0.0091643350407752,True,-0.0135848189924125,0.5306722748020618,False,0.1221848675734833,0.0028321031942459,True
Duration,Word duration (articulation lengthening),0.1242746030606497,2.7573783245250554,0.0359377144181278,0.2126114917031716,0.0058266893866888,True,0.0158909710546058,True,0.2038635313841157,8.483552224090962e-06,True,0.3281381344447655,3.5020208954961156e-11,True
loudness_sma3_percentile80.0,Loudness-80th percentile [intensity],0.0643151491101318,2.67465075520452,0.0171846248685774,0.1114456733516861,0.007480713425856,True,0.0198018884802071,True,0.192861894815554,0.0013660200658165,True,0.2571770439256858,0.0002581821312259,True
loudness_sma3_meanRisingSlope,Loudness-rising slope [intensity],-0.0642918225716049,-2.35339544928492,-0.1178365731058317,-0.0107470720373781,0.0186028384550791,True,0.0478358703130607,True,0.1048544220717678,0.0214795198935771,True,0.0405625995001629,0.4208802953838466,False
slopeV0-500_sma3nz_amean,slopeV0-500-mean,-0.0509726644359527,-2.318966755504618,-0.0940549647998176,-0.0078903640720877,0.0203968389742069,True,0.0509920974355174,False,0.2480713006616148,0.000131042017624,True,0.1970986362256621,0.0018955047998121,True
hammarbergIndexV_sma3nz_amean,hammarbergIndexV-mean,-0.0677405483145453,-2.2973377930100867,-0.125534171481535,-0.0099469251475555,0.0215995074401267,True,0.0525393424219298,False,-0.0242368938668507,0.6081492586738915,False,-0.091977442181396,0.063961065106346,False
spectralFluxV_sma3nz_amean,Spectral flux-mean [timbre change],0.0559556642657813,2.134840745790614,0.0045826978385759,0.1073286306929867,0.0327740207667183,True,0.0776226807632803,False,0.2451276555175439,0.0001556087569579,True,0.3010833197833253,4.416723880873441e-05,True
loudness_sma3_stddevFallingSlope,Loudness-standard deviation [intensity],-0.0642015249114156,-2.000507628860784,-0.1271030540088243,-0.0012999958140069,0.0454454769691959,True,0.1048741776212214,False,0.0784133903747086,0.005061250718961,True,0.014211865463293,0.6642288599875921,False
alphaRatioV_sma3nz_amean,Alpha ratio-mean [energy distribution],0.0594905816468454,1.980491816932624,0.0006155390786772,0.1183656242150135,0.0476482919432769,True,0.1072086568723731,False,0.0156733684884183,0.6906182432233551,False,0.0751639501352638,0.0407421417900082,True
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0 semitone-rising slope [pitch],0.0804627034066306,1.951621447404983,-0.0003454363515661,0.1612708431648274,0.0509831649688909,False,0.1119142645658581,False,0.0202978355619126,0.4922706289515246,False,0.1007605389685433,0.0080832815524478,True
logRelF0-H1-A3_sma3nz_stddevNorm,logRelF0-H1-A3-coefficient of variation,0.0622923875645339,1.9039772754116,-0.0018328943929897,0.1264176695220576,0.0569131438291364,False,0.1219567367767209,False,0.0480684763628819,0.0819658174739846,False,0.1103608639274159,0.0016506068184491,True
F0semitoneFrom27.5Hz_sma3nz_amean,F0 semitone-mean [pitch],-0.0334843235526475,-1.8441012774765535,-0.069073081591466,0.0021044344861709,0.0651683817957173,False,0.136398938642199,False,0.1002688099913685,0.1733594118199033,False,0.066784486438721,0.3504374006763473,False
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0 semitone-80th percentile [pitch],0.0287327314943504,1.7441686877493834,-0.003555517987754,0.0610209809764549,0.0811296795975771,False,0.1659470719041351,False,0.15423893467824,0.0296737393628592,True,0.1829716661725905,0.008312962272708,True
